ID;createdAt;createdBy;modifiedAt;modifiedBy;name;projectType;managerId;startDate;endDate;status;priority;description;progress;complexity;documentation
"71a57f24-a364-4952-af41-68dfe833f6d8";"2025-12-23T14:33:41Z";"system";"2026-06-18T08:41:28Z";"system";"Ergonomic context-sensitive circuit Project";"TMA";"95088c3a-73aa-4504-ba87-850c148ff382";"2025-07-02T19:27:42Z";"2027-04-29T12:38:37Z";"ACTIVE";"HIGH";"Fugiat torrens assumenda coepi aequitas abscido tantum id. Summopere antea thesaurus atque. Minus aduro somniculosus.";64;"LOW";""
"6192904e-050d-434f-9e7d-d74b27b289df";"2025-06-23T13:19:35Z";"system";"2026-06-18T13:44:01Z";"system";"Enhanced resilient conglomeration Project";"TMA";"573fa1f8-1f1d-444a-a0f9-b3720e76c475";"2026-02-03T18:27:10Z";"2026-08-12T17:22:42Z";"ACTIVE";"MEDIUM";"Advenio dens curvo. Sto tergum venia aestivus attero accendo crastinus verbera theatrum. Aegre atque uter aspernatur alienus vesper verbum.";57;"MEDIUM";""
"5c881bd9-6b0d-4405-ab77-8bd626e25604";"2025-09-10T19:14:35Z";"system";"2026-06-17T17:30:45Z";"system";"Ergonomic needs-based firmware Project";"TMA";"95088c3a-73aa-4504-ba87-850c148ff382";"2025-12-07T05:15:58Z";"2027-02-02T09:32:12Z";"ACTIVE";"LOW";"Verbera tardus tubineus suscipio capto ventosus. Aro tutamen circumvenio audentia creta cinis utilis cerno surculus terebro. Laborum cena volo suffragium suspendo ante caries taedium.";86;"LOW";""
"4ddd7b68-2c9f-461a-8587-c2b793984842";"2026-05-31T08:56:19Z";"system";"2026-06-18T06:51:28Z";"system";"Progressive regional system engine Project";"BUILD";"9a8050db-8ed0-4d71-9362-b35babb4ee32";"2026-01-12T20:25:14Z";"2026-09-27T16:23:09Z";"ACTIVE";"LOW";"Coruscus curtus dolores dolorum tristis. Thalassinus cetera thymum. Cura corrupti somniculosus teneo delego.";75;"MEDIUM";""
"141c502f-1e77-4dac-ab82-a84d5ee41bcf";"2025-11-26T03:26:30Z";"system";"2026-06-17T21:18:35Z";"system";"Phased optimizing emulation Project";"BUILD";"e097bb52-26e4-4781-a59f-9835dc3ef8e7";"2026-04-09T13:31:33Z";"2027-01-29T20:38:31Z";"ACTIVE";"HIGH";"Cribro communis caecus corpus textilis delectatio cum templum. Contigo titulus copiose magni cultellus cunctatio cunctatio. Dolore corrumpo dignissimos defetiscor conitor calco congregatio autem comminor peior.";28;"MEDIUM";""
"8d62167e-1ce0-42bb-b41f-79fe3780b93e";"2025-10-27T15:15:31Z";"system";"2026-06-18T13:06:01Z";"system";"Decentralized value-added project Project";"BUILD";"95088c3a-73aa-4504-ba87-850c148ff382";"2025-10-19T11:11:22Z";"2027-02-14T20:08:46Z";"ACTIVE";"CRITICAL";"Conspergo thalassinus decens thermae acies bibo cupio. Subiungo aggero accommodo timidus. Clibanus aggero veritas accendo occaecati doloremque.";28;"LOW";""
"8a043ad6-5c96-414e-b8c6-93d72d7ef807";"2026-04-18T07:03:30Z";"system";"2026-06-18T12:58:09Z";"system";"Adaptive analyzing initiative Project";"BUILD";"95088c3a-73aa-4504-ba87-850c148ff382";"2026-04-22T08:17:01Z";"2026-11-12T10:29:47Z";"ACTIVE";"HIGH";"Audax casus crapula carpo. Vitium textus nam sufficio cibus derelinquo vis depromo ipsam ultra. Defessus suscipit apparatus depono defaeco id delicate attollo patruus.";61;"HIGH";""
"8561d433-4583-423e-b25e-3f77b9fa7c63";"2026-03-20T14:45:46Z";"system";"2026-06-18T09:46:07Z";"system";"Exclusive cohesive support Project";"TMA";"e097bb52-26e4-4781-a59f-9835dc3ef8e7";"2025-09-19T13:18:13Z";"2026-12-13T13:08:40Z";"ACTIVE";"MEDIUM";"Voco talio voluptatum. Defero vinco vulpes quam vacuus suffragium sponte utilis attero adinventitias. Sodalitas suscipio concedo.";84;"HIGH";""
"d3808d9f-cf3f-4d4d-bab9-4c281af3e9aa";"2026-04-11T14:19:03Z";"system";"2026-06-18T03:44:39Z";"system";"Robust intangible budgetary management Project";"TMA";"573fa1f8-1f1d-444a-a0f9-b3720e76c475";"2026-06-14T03:24:26Z";"2027-05-02T17:56:07Z";"ACTIVE";"CRITICAL";"Uredo statua comburo. Arbustum terga sol sono bonus coma infit admitto. Testimonium catena ultio sonitus necessitatibus similique.";59;"LOW";""
"d52f18f1-e087-42d9-810f-d357419f46d7";"2025-07-07T05:34:59Z";"system";"2026-06-18T06:53:54Z";"system";"Smart content-based firmware Project";"TMA";"e097bb52-26e4-4781-a59f-9835dc3ef8e7";"2025-09-02T03:13:26Z";"2027-06-05T15:55:56Z";"ACTIVE";"MEDIUM";"Corporis asporto uterque admiratio sopor capillus carus suppono appositus possimus. Aut congregatio nostrum eaque quibusdam strenuus voveo voluptates cursus vallum. Sopor verbera cerno tam decimus turba.";75;"LOW";""
